Year, Cumulative Return New,Ticker,Rank by Cumulative Return
2023,0.268272347154778,BEL,14
2023,0.10916708931207375,DRREDDY,44
2023,0.18081166399534754,POWERGRID,22
2023,0.14442099219564253,RELIANCE,35
2023,0.11772628187761192,SBIN,15
2024,0.364299623106232,BEL,47
2024,0.08977329763773434,DRREDDY,46
2024,0.13223953271733235,POWERGRID,49
2024,0.07830717274944254,RELIANCE,50
2024,0.298918228825399,SBIN,48
