COMPANY NAME,Return %
ASIAN PAINTS,-36.1661961067944
BPCL,-53.510344361465684
COAL INDIA,-59.29301903070518
NTPC,-67.1376597363449
HERO MOTOCORP,-69.58292567179672
INDUSIND BANK,-78.71985506340125
BAJAJ FINSERV,-98.22606282855733
NESTLE,-103.99725096469083
ADANI PORTS & SEZ,-129.35809654585165
TATA STEEL,-163.60199346820642
