Symbol,ADANIPORTS,AIRTEL,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJFINSV,BPCL,COALINDIA,DRREDDY,EICHERMOT,HCLTECH,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M&M,NESTLEIND,NTPC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATASTEEL,TECHM,TITAN,TRENT,ULTRACEMCO
ADANIPORTS,1.0,0.7067645498155287,0.7160691501694157,-0.2205044765581577,0.6617024612889252,0.6951190960272845,0.6580520309938357,0.8796671046059357,0.708605615580485,0.6716129181124803,0.5417017702138474,0.11672872053270245,0.8365178169525755,0.09140327970546037,0.6646895259213496,-0.002175283938974051,0.46661461088889317,0.15475642420975824,0.6388662833277914,0.10538943612490183,0.7585927040034465,0.6913351044295852,0.7110552741692993,0.8341600712519304,0.919228941665868,0.7183365129779168,0.6318348486396962,0.70045431207879,0.8393536624321382,0.5983539952981799,0.6058586917461912,0.7313692450817307,0.7178049639041659
AIRTEL,0.7067645498155287,1.0,0.8868993059476283,-0.19595767418627022,0.7680728692804126,0.9403635827092217,0.9005276901869641,0.8730586353040971,0.8375586283680364,0.9334210939304644,0.7561725411657246,0.5526715696452175,0.9131578806313904,0.4596383768975041,0.9651229024122889,-0.5058896785542186,0.7651921506467777,0.5888584561765754,0.9198906655435689,0.147710171685801,0.9537507905915497,0.7576638504659199,0.5118783250674851,0.8360591803932489,0.7637483839584601,0.9350074674976383,0.9563124464612413,0.9496351419867145,0.7973774801534662,0.6230159176220803,0.9732865482857859,0.8775315430317494,0.8217594587410947
APOLLOHOSP,0.7160691501694157,0.8868993059476283,1.0,-0.15787209230086965,0.6073921786517399,0.847601964001219,0.82135110574261,0.8000671157712274,0.8572177565467874,0.7662698073983125,0.9126445748345052,0.4847198815986549,0.8137764858756905,0.38817311016089434,0.853108332428153,-0.44742545699775993,0.8431843255969421,0.5304592733613418,0.8001061772877035,0.23473359973329858,0.813561194646212,0.5638280917303661,0.5196559549400374,0.7955431027645579,0.7295735226359097,0.8793890876680043,0.900181695521596,0.9480260102116248,0.8289133245246503,0.7777923561171814,0.877633028561032,0.8300269732772395,0.906900067000262
ASIANPAINT,-0.2205044765581577,-0.19595767418627022,-0.15787209230086965,1.0,0.0009706255827002958,-0.019065922586306117,0.14845725385626912,-0.20012593982978397,-0.06645510486647864,-0.1553983595103097,-0.08411532370847688,0.3550974300276132,-0.1309708896940938,0.6097370648344221,-0.21148834206597314,0.4419908719317089,0.1065844166263653,0.460887199858151,-0.060194282784913525,0.5755714263989729,-0.20968080615036847,-0.2999570220523297,0.20464973629021574,-0.2396360929093897,-0.24474719245482895,-0.04122734015708405,-0.030135908728373302,-0.210303635156014,-0.10048212301650351,0.25785385275723144,-0.09311833952907275,0.017379064834706564,-0.23092146904728902
AXISBANK,0.6617024612889252,0.7680728692804126,0.6073921786517399,0.0009706255827002958,1.0,0.7457013672809066,0.8013523571636623,0.7378415362164866,0.6437012415647027,0.8587555156261742,0.4531070592083128,0.5441649889235569,0.8460757217029913,0.4743299961213247,0.8196406924090632,-0.20532370062711805,0.5402659338539675,0.4640639935529281,0.8111168615538316,0.27550311697272756,0.8451646485052321,0.5965354418542924,0.5920655465335481,0.6639914410503591,0.7298487100484807,0.7447150395455837,0.7407593343072069,0.62085434000687,0.6306223890405052,0.4635813362378916,0.7354663141609872,0.8676938536347364,0.67454252720235
BAJAJFINSV,0.6951190960272845,0.9403635827092217,0.847601964001219,-0.019065922586306117,0.7457013672809066,1.0,0.8965745220007041,0.8191300637115088,0.7779616500435559,0.8606056008043759,0.718295265370612,0.5567584282688461,0.8961525122213466,0.521261994509803,0.8999805986635714,-0.30499290747966196,0.7205589164517594,0.6071027281565806,0.8979206509748291,0.2771981709041226,0.9061038626736544,0.754699186552512,0.6425717084215977,0.7662760257414748,0.742455494053182,0.9054854948636846,0.9414540586487293,0.899339375419691,0.7790369438884567,0.7076149173430112,0.9259856060539446,0.8473193007454459,0.7598982478513172
BPCL,0.6580520309938357,0.9005276901869641,0.82135110574261,0.14845725385626912,0.8013523571636623,0.8965745220007041,1.0,0.8203367255775345,0.8417534225522867,0.8640220739847588,0.7182130675015568,0.6331768555457535,0.8934171320812071,0.7214818414892692,0.8652303433914885,-0.3075373521273481,0.8263581873002602,0.7412788543284239,0.8636900640065467,0.38339577435060834,0.8765951970887218,0.6159989331194462,0.6478460892107258,0.7772912269431796,0.7113757201985553,0.9133315180943257,0.9222221842995469,0.8491548253847477,0.7896480018560872,0.6950322861723034,0.9062592803427797,0.9250618288956641,0.7616592032205266
COALINDIA,0.8796671046059357,0.8730586353040971,0.8000671157712274,-0.20012593982978397,0.7378415362164866,0.8191300637115088,0.8203367255775345,1.0,0.8666040293586265,0.85632181191163,0.5988017833872471,0.2635385796890112,0.9295939824011271,0.3123932130230348,0.8088457563649177,-0.1913422531559499,0.6145824615001042,0.36718372548256806,0.7592022670169496,0.07325351847188093,0.8748963574669324,0.8304489266043448,0.690916294237916,0.961233550739585,0.9412824688401843,0.8888429275364529,0.8072176613201432,0.8390630900189218,0.9090316085803481,0.5782327239858928,0.8047742857363258,0.833210413300213,0.7458551079039916
DRREDDY,0.708605615580485,0.8375586283680364,0.8572177565467874,-0.06645510486647864,0.6437012415647027,0.7779616500435559,0.8417534225522867,0.8666040293586265,1.0,0.7807004382190993,0.7660183860143424,0.4548013666052716,0.7966240505849407,0.5028090395442983,0.8110257955643366,-0.325339461585683,0.8215543220985179,0.5534795122483149,0.7131510254659621,0.19722743562434317,0.7919290419602242,0.6645421799923553,0.6128479859617616,0.9050261171923796,0.7995885778585727,0.9261686606668198,0.8549785073335557,0.8809251776143433,0.9046396116282456,0.6599833922912334,0.8287238318672506,0.8347417106163272,0.8206118796503328
EICHERMOT,0.6716129181124803,0.9334210939304644,0.7662698073983125,-0.1553983595103097,0.8587555156261742,0.8606056008043759,0.8640220739847588,0.85632181191163,0.7807004382190993,1.0,0.5821166122522631,0.5858423988459746,0.8915714427291501,0.4554222934816584,0.9361140183732984,-0.4615035251942982,0.6493004527167893,0.5799661503388093,0.9187468852001196,0.13691247629436776,0.9544785888954636,0.7753754572226274,0.5003180600162169,0.814294031676227,0.7568222511569436,0.895678864855195,0.8705810819356006,0.8280213534678432,0.7408729136701013,0.4880333326809461,0.903310221106462,0.8887306773351178,0.7250426854642312
